id_transaksi,tanggal,kota,kategori,produk,jumlah,harga_satuan,diskon_persen,metode_bayar,rating_pelanggan,total_bayar
TRX2024669,2024-11-04,Depok,Makanan,Kue Kering,6,22500,0,Transfer,4.0,135000
TRX2024715,2024-06-06,Bogor,Minuman,Kopi Bubuk,9,40000,0,QRIS,4.1,360000
TRX2024838,2024-02-13,Bogor,Makanan,Sambal Roa,12,21500,20,Transfer,3.7,206400
TRX2024502,2024-06-26,Depok,Makanan,Rendang Kemasan,12,29500,0,Transfer,4.6,354000
TRX2024800,2024-12-05,Bogor,Makanan,Sambal Roa,9,32000,0,Tunai,4.4,288000
TRX2024509,2024-02-26,Bekasi,Kerajinan,Batik Tulis,4,167500,0,Tunai,,670000
TRX2024121,2024-05-31,Bekasi,Kerajinan,Batik Tulis,13,132000,5,Tunai,4.4,1630200
TRX2025037,2024-11-12,Jakarta Selatan,Kerajinan,Gerabah Hias,2,151000,0,QRIS,3.3,302000
TRX2024190,2024-07-03,BOGOR,Makanan,Keripik Singkong,2,36000,5,E-Wallet,3.6,68400
TRX2024692,2024-08-07,Depok,Kerajinan,Gerabah Hias,10,107000,0,Transfer,4.4,1070000
TRX2024750,2024-08-06,Bekasi,Minuman,Teh Herbal,14,52500,15,Transfer,4.2,624750
TRX2024343,2024-05-07,Depok,Minuman,Kopi Bubuk,8,41500,0,Transfer,3.7,332000
TRX2024232,2024-08-26,Tangerang Selatan,Kerajinan,Tas Anyaman,14,135500,0,QRIS,3.6,1897000
TRX2025020,2024-03-06,Bogor,Makanan,Rendang Kemasan,8,20000,5,Tunai,4.0,152000
TRX2025006,2024-08-11,Bogor,Kerajinan,Tas Anyaman,10,116500,0,Tunai,3.6,1165000
TRX2024197,2024-10-05,Depok,Fashion,Kemeja Tenun,1,147000,15,QRIS,5.0,124950
TRX2025165,2024-09-01,Bogor,Makanan,Keripik Singkong,14,27000,0,E-Wallet,,378000
TRX2024180,2024-10-21,Bogor,Minuman,Kopi Bubuk,14,38500,0,QRIS,4.5,539000
TRX2024411,2024-08-24,Tangerang Selatan,Makanan,Kue Kering,14,32000,10,QRIS,4.8,403200
TRX2024146,2024-04-30,Bogor,Kerajinan,Batik Tulis,8,183000,0,QRIS,4.0,1464000
TRX2024895,2024-11-25,Tangerang Selatan,Makanan,Rendang Kemasan,13,34000,20,E-Wallet,4.2,353600
TRX2024288,2024-11-05,Bogor,Makanan,Kue Kering,12,27500,5,QRIS,4.3,313500
TRX2024123,2024-12-27,BOGOR,Kerajinan,Batik Tulis,1,190000,0,E-Wallet,4.3,190000
TRX2025054,2024-11-27,Depok,Makanan,Keripik Singkong,14,31500,10,Tunai,4.8,396900
TRX2024290,2024-07-02,Tangerang Selatan,Kerajinan,Gerabah Hias,4,171500,10,E-Wallet,3.9,617400
TRX2024321,2024-07-16,Jakarta Selatan,Makanan,Sambal Roa,7,33500,20,QRIS,3.7,187600
TRX2024930,2024-01-13,Bekasi,Makanan,Rendang Kemasan,2,31500,5,E-Wallet,3.1,59850
TRX2024877,2024-03-13,Tangerang Selatan,Kerajinan,Tas Anyaman,8,128500,5,Tunai,,976600
TRX2024452,2024-08-16,Depok,Makanan,Sambal Roa,1,30000,20,Transfer,3.7,24000
TRX2024415,2024-07-22,Depok,Makanan,Rendang Kemasan,10,39500,0,Tunai,3.7,395000
TRX2024144,2024-04-16,Bekasi,Kerajinan,Batik Tulis,1,139000,20,E-Wallet,4.0,111200
TRX2024173,2024-10-10,Depok,Makanan,Keripik Singkong,3,37500,10,E-Wallet,5.0,101250
TRX2025070,2024-07-17,Jakarta Selatan,Makanan,Sambal Roa,1,21000,0,QRIS,3.6,21000
TRX2024385,2024-01-27,Depok,Makanan,Sambal Roa,9,39000,0,QRIS,5.0,351000
TRX2025133,2024-11-23,Depok,Makanan,Rendang Kemasan,4,33500,10,E-Wallet,4.1,120600
TRX2024824,2024-05-04,Depok,Minuman,Sirup Markisa,12,47000,0,Tunai,4.2,564000
TRX2024539,2024-09-08,Depok,Makanan,Sambal Roa,10,24000,0,QRIS,4.6,240000
TRX2024469,2024-02-18,Tangerang Selatan,Kerajinan,Gerabah Hias,7,142000,0,QRIS,4.2,994000
TRX2024303,2024-10-19,Jakarta Selatan,Fashion,Kemeja Tenun,13,114000,5,Tunai,4.3,1407900
TRX2024901,2024-11-13,Jakarta Selatan,Minuman,Teh Herbal,7,48500,0,QRIS,4.0,339500
TRX2024239,2024-12-27,Jakarta Selatan,Kerajinan,Batik Tulis,5,107000,0,Transfer,,535000
TRX2024700,2024-09-23,Bekasi,Minuman,Sirup Markisa,6,32500,0,Transfer,3.9,195000
TRX2024953,2024-07-28,Depok,Makanan,Rendang Kemasan,2,34000,5,Tunai,3.3,64600
TRX2024498,2024-05-20,Bogor,Fashion,Hijab Motif,6,119000,0,Tunai,3.6,714000
TRX2024227,2024-10-08,Bogor,Kerajinan,Gerabah Hias,4,183500,0,E-Wallet,3.6,734000
TRX2024829,2024-09-23,Bogor,Makanan,Rendang Kemasan,3,33500,0,Tunai,5.0,100500
TRX2024119,2024-10-09,Jakarta Selatan,Minuman,Teh Herbal,6,30500,20,Tunai,4.4,146400
TRX2024749,2024-04-03,Jakarta Selatan,Makanan,Kue Kering,13,27000,0,E-Wallet,4.3,351000
TRX2024440,2024-04-06,Jakarta Selatan,Fashion,Kaos Lokal,7,79500,0,QRIS,3.9,556500
TRX2024617,2024-11-23,Depok,Makanan,Kue Kering,8,36000,0,Transfer,3.7,288000
TRX2025157,2024-12-04,Bekasi,Minuman,Sirup Markisa,7,46000,20,E-Wallet,,257600
TRX2024339,2024-04-08,Bekasi,Makanan,Rendang Kemasan,11,39500,0,QRIS,5.0,434500
TRX2024072,2024-07-25,Depok,Kerajinan,Gerabah Hias,1,122500,0,QRIS,3.1,122500
TRX2024609,2024-01-15,Depok,Makanan,Keripik Singkong,9,22500,20,E-Wallet,3.8,162000
TRX2024548,2024-05-18,Jakarta Selatan,Makanan,Rendang Kemasan,9,24000,15,Tunai,3.9,183600
TRX2024201,2024-03-19,Bogor,Minuman,Teh Herbal,8,53000,20,Transfer,4.0,339200
TRX2024061,2024-10-27,Depok,Fashion,Kaos Lokal,11,129000,15,QRIS,5.0,1206150
TRX2024842,2024-10-18,Depok,Minuman,Teh Herbal,12,49500,20,Transfer,,475200
TRX2024546,2024-05-10,Bogor,Makanan,Kue Kering,12,25500,10,Tunai,4.1,275400
TRX2024971,2024-05-15,Depok,Minuman,Teh Herbal,1,44000,5,E-Wallet,3.1,41800
TRX2025199,2024-07-11,Depok,Fashion,Kaos Lokal,5,117500,15,E-Wallet,3.8,499375
TRX2024727,2024-06-03,Bekasi,Minuman,Sirup Markisa,12,32500,10,E-Wallet,3.8,351000
TRX2024058,2024-08-16,Tangerang Selatan,Fashion,Kaos Lokal,10,125000,0,QRIS,3.8,1250000
TRX2024560,2024-05-11,Depok,Minuman,Teh Herbal,7,30500,0,QRIS,3.4,213500
TRX2024400,2024-07-09,Bogor,Makanan,Rendang Kemasan,1,31000,0,,4.6,31000
TRX2024998,2024-10-01,Tangerang Selatan,Fashion,Kemeja Tenun,1,130500,0,Transfer,4.0,130500
TRX2024147,2024-04-28,Bogor,Minuman,Kopi Bubuk,2,30500,10,Tunai,4.4,54900
TRX2024983,2024-08-29,Bekasi,Kerajinan,Gerabah Hias,12,190500,0,Tunai,,2286000
TRX2025107,2024-03-14,Jakarta Selatan,Makanan,Sambal Roa,10,35000,0,QRIS,4.2,350000
TRX2025110,2024-11-18,Jakarta Selatan,Makanan,Kue Kering,3,36000,0,QRIS,4.7,108000
TRX2025132,2024-05-17,Depok,Makanan,Sambal Roa,12,33500,0,QRIS,3.3,402000
TRX2025072,2024-09-24,Jakarta Selatan,Makanan,Sambal Roa,1,26500,20,E-Wallet,4.2,21200
TRX2025139,2024-01-08,BOGOR,Makanan,Rendang Kemasan,1,35500,10,E-Wallet,3.8,31950
TRX2025042,2024-10-26,Jakarta Selatan,Makanan,Rendang Kemasan,6,38500,15,E-Wallet,4.5,196350
TRX2024269,2024-02-10,BOGOR,Minuman,Kopi Bubuk,1,36500,0,QRIS,4.6,36500
TRX2024883,2024-01-29,Depok,Makanan,Kue Kering,10,27500,0,E-Wallet,4.3,275000
TRX2024085,2024-01-28,Bekasi,Fashion,Kemeja Tenun,11,141500,0,Transfer,3.7,1556500
TRX2024157,2024-01-10,Bogor,Fashion,Kaos Lokal,3,87500,0,E-Wallet,5.0,262500
TRX2024921,2024-01-03,Bekasi,Fashion,Hijab Motif,8,84500,0,Transfer,5.0,676000
TRX2024920,2024-08-14,Bekasi,Fashion,Kemeja Tenun,4,131500,20,Transfer,5.0,420800
TRX2024935,2024-04-07,Jakarta Selatan,Kerajinan,Tas Anyaman,8,157500,10,Tunai,4.7,1134000
TRX2024537,2024-08-14,Bekasi,Kerajinan,Batik Tulis,7,163500,0,E-Wallet,3.4,1144500
TRX2025135,2024-07-05,Tangerang Selatan,Kerajinan,Gerabah Hias,13,176500,20,Transfer,4.0,1835600
TRX2024103,2024-08-20,Depok,Makanan,Keripik Singkong,1,22000,0,Tunai,3.7,22000
TRX2024697,2024-08-19,Depok,Fashion,Hijab Motif,12,113500,0,E-Wallet,3.3,1362000
TRX2024948,2024-12-08,Bogor,Fashion,Kaos Lokal,2,140500,0,E-Wallet,5.0,281000
TRX2024528,2024-11-21,Bekasi,Kerajinan,Gerabah Hias,14,168000,15,Tunai,4.6,1999200
TRX2024635,2024-05-12,Tangerang Selatan,Makanan,Kue Kering,3,23000,10,QRIS,4.5,62100
TRX2024698,2024-04-01,Depok,Minuman,Teh Herbal,13,31000,10,QRIS,4.6,362700
TRX2024602,2024-07-23,Jakarta Selatan,Kerajinan,Batik Tulis,11,102000,0,E-Wallet,4.1,1122000
TRX2024428,2024-06-27,Bogor,Kerajinan,Tas Anyaman,5,181000,15,QRIS,4.6,769250
TRX2024664,2024-09-07,JAKARTA SELATAN,Makanan,Rendang Kemasan,13,25000,0,,4.1,325000
TRX2025159,2024-08-22,Depok,Makanan,Sambal Roa,5,32000,10,QRIS,4.0,144000
TRX2025048,2024-12-15,Bekasi,Kerajinan,Batik Tulis,3,104500,0,E-Wallet,3.6,313500
TRX2025059,2024-09-25,Depok,Fashion,Hijab Motif,12,130000,0,Tunai,3.9,1560000
TRX2025167,2024-02-25,DEPOK,Minuman,Sirup Markisa,3,28500,20,Transfer,4.1,68400
TRX2025077,2024-02-11,Tangerang Selatan,Minuman,Kopi Bubuk,13,55000,10,QRIS,,643500
TRX2024450,2024-03-25,Depok,Kerajinan,Tas Anyaman,9,162000,0,QRIS,3.5,1458000
TRX2024357,2024-04-26,Depok,Makanan,Rendang Kemasan,2,24500,15,QRIS,3.8,41650
TRX2025147,2024-02-27,Bogor,Kerajinan,Batik Tulis,13,158000,0,Tunai,4.8,2054000
TRX2024143,2024-08-12,Jakarta Selatan,Kerajinan,Batik Tulis,9,141000,20,QRIS,4.6,1015200
TRX2024940,2024-07-18,Depok,Makanan,Sambal Roa,13,24000,0,Tunai,4.1,312000
TRX2024464,2024-11-03,Depok,Kerajinan,Tas Anyaman,2,141500,0,QRIS,4.3,283000
TRX2024003,2024-09-05,Depok,Makanan,Keripik Singkong,14,37500,15,Transfer,4.4,446250
TRX2024648,2024-05-25,Bogor,Kerajinan,Gerabah Hias,11,165500,0,E-Wallet,3.8,1820500
TRX2024905,2024-06-07,Bekasi,Makanan,Keripik Singkong,9,30000,0,Transfer,3.7,270000
TRX2024095,2024-03-21,Depok,Minuman,Kopi Bubuk,6,53500,5,Transfer,3.5,304950
TRX2024746,2024-12-27,Bogor,Makanan,Keripik Singkong,5,25000,5,,3.9,118750
TRX2024311,2024-05-09,Bekasi,Makanan,Keripik Singkong,14,22000,5,QRIS,3.6,292600
TRX2024235,2024-05-27,JAKARTA SELATAN,Fashion,Kemeja Tenun,6,93000,15,QRIS,,474300
TRX2024600,2024-04-22,Jakarta Selatan,Fashion,Kaos Lokal,10,89500,0,QRIS,4.1,895000
TRX2024465,2024-04-24,Bogor,Fashion,Kaos Lokal,2,148500,10,Tunai,3.9,267300
TRX2025198,2024-01-22,Depok,Fashion,Hijab Motif,12,101000,0,E-Wallet,3.8,1212000
TRX2024287,2024-10-05,Depok,Minuman,Kopi Bubuk,6,46000,0,QRIS,4.5,276000
TRX2024871,2024-07-02,Bogor,Fashion,Kemeja Tenun,1,80000,0,QRIS,3.7,80000
TRX2024150,2024-09-29,Bogor,Kerajinan,Gerabah Hias,14,154500,0,QRIS,4.9,2163000
TRX2024803,2024-10-27,Bogor,Kerajinan,Tas Anyaman,6,155500,0,QRIS,4.0,933000
TRX2024620,2024-10-03,Bogor,Minuman,Teh Herbal,11,34500,5,E-Wallet,3.9,360525
TRX2024429,2024-06-08,Jakarta Selatan,Fashion,Kaos Lokal,2,100500,0,Tunai,2.9,201000
TRX2024073,2024-05-31,Depok,Makanan,Rendang Kemasan,12,37000,0,Tunai,3.3,444000
TRX2024350,2024-03-07,Bekasi,Kerajinan,Tas Anyaman,2,152500,0,E-Wallet,5.0,305000
TRX2024885,2024-11-30,Bogor,Makanan,Sambal Roa,7,28500,0,QRIS,4.2,199500
TRX2024849,2024-02-20,Bogor,Kerajinan,Tas Anyaman,4,170000,0,Tunai,4.3,680000
TRX2024986,2024-09-13,Bekasi,Fashion,Kaos Lokal,5,150000,0,Transfer,4.0,750000
TRX2024137,2024-11-16,Depok,Minuman,Sirup Markisa,3,35000,0,E-Wallet,4.7,105000
TRX2024618,2024-06-15,Jakarta Selatan,Kerajinan,Batik Tulis,14,169500,20,E-Wallet,3.8,1898400
TRX2025154,2024-07-22,Depok,Kerajinan,Tas Anyaman,9,153500,0,E-Wallet,5.0,1381500
TRX2024330,2024-04-17,Tangerang Selatan,Makanan,Keripik Singkong,6,21500,0,QRIS,5.0,129000
TRX2024091,2024-07-13,Jakarta Selatan,Makanan,Kue Kering,8,33500,0,E-Wallet,5.0,268000
TRX2025018,2024-05-18,Tangerang Selatan,Minuman,Sirup Markisa,12,48500,15,QRIS,3.9,494700
TRX2024164,2024-02-06,Bogor,Makanan,Keripik Singkong,7,35000,0,E-Wallet,4.1,245000
TRX2024566,2024-01-20,Depok,Kerajinan,Batik Tulis,2,138000,10,Transfer,3.6,248400
TRX2024777,2024-08-19,Depok,Makanan,Keripik Singkong,1,33500,0,Tunai,4.4,33500
TRX2024523,2024-11-17,Bekasi,Makanan,Kue Kering,9,25500,0,QRIS,3.9,229500
TRX2025141,2024-07-30,Depok,Kerajinan,Tas Anyaman,10,127500,10,QRIS,4.9,1147500
TRX2024168,2024-11-08,Bogor,Kerajinan,Tas Anyaman,6,191000,0,Transfer,4.3,1146000
TRX2024323,2024-01-17,Bogor,Kerajinan,Batik Tulis,12,179000,0,QRIS,,2148000
TRX2024115,2024-05-31,Bogor,Makanan,Sambal Roa,13,37500,5,QRIS,3.8,463125
TRX2024687,2024-02-06,Bogor,Kerajinan,Gerabah Hias,13,152500,0,Tunai,4.7,1982500
TRX2024937,2024-01-12,Bekasi,Minuman,Sirup Markisa,4,28000,20,Transfer,4.2,89600
TRX2025151,2024-03-26,Jakarta Selatan,Fashion,Kaos Lokal,3,111000,0,QRIS,4.1,333000
TRX2025145,2024-03-26,Bogor,Fashion,Hijab Motif,3,130000,20,Tunai,4.3,312000
TRX2024529,2024-07-26,Bekasi,Fashion,Kemeja Tenun,7,124500,5,Transfer,5.0,827925
TRX2024027,2024-11-22,Depok,Makanan,Keripik Singkong,2,36500,0,Transfer,3.5,73000
TRX2024471,2024-10-14,Depok,Fashion,Hijab Motif,14,117500,10,QRIS,3.5,1480500
TRX2025041,2024-01-10,Jakarta Selatan,Makanan,Sambal Roa,3,37000,20,QRIS,3.7,88800
TRX2024499,2024-06-18,Tangerang Selatan,Minuman,Teh Herbal,12,47000,0,Tunai,3.2,564000
TRX2024881,2024-03-19,Depok,Minuman,Sirup Markisa,9,51500,0,Transfer,4.7,463500
TRX2025120,2024-12-31,Depok,Kerajinan,Gerabah Hias,1,100000,0,Transfer,3.3,100000
TRX2025194,2024-02-11,Jakarta Selatan,Minuman,Teh Herbal,8,46500,5,Tunai,3.9,353400
TRX2024421,2024-09-29,Depok,Kerajinan,Batik Tulis,14,105500,10,Transfer,4.7,1329300
TRX2024763,2024-10-18,Tangerang Selatan,Minuman,Kopi Bubuk,2,31500,20,E-Wallet,3.8,50400
TRX2024131,2024-07-10,Depok,Makanan,Keripik Singkong,12,31500,15,Transfer,4.4,321300
TRX2024985,2024-06-18,Jakarta Selatan,Kerajinan,Tas Anyaman,12,136000,5,QRIS,4.2,1550400
TRX2024581,2024-02-25,Depok,Fashion,Kaos Lokal,8,122500,0,QRIS,4.1,980000
TRX2024845,2024-12-19,Bogor,Makanan,Sambal Roa,6,33000,15,Transfer,4.0,168300
TRX2024522,2024-09-27,Jakarta Selatan,Minuman,Sirup Markisa,6,45000,0,Tunai,4.2,270000
TRX2024913,2024-08-12,Jakarta Selatan,Minuman,Kopi Bubuk,3,52500,10,Transfer,4.5,141750
TRX2024678,2024-09-26,Bogor,Makanan,Sambal Roa,10,31000,0,Tunai,4.3,310000
TRX2024376,2024-01-02,Bekasi,Fashion,Kemeja Tenun,11,136500,10,E-Wallet,,1351350
TRX2024563,2024-07-12,Bogor,Makanan,Keripik Singkong,6,26000,0,QRIS,3.5,156000
TRX2024586,2024-05-28,Tangerang Selatan,Fashion,Kemeja Tenun,12,143000,0,QRIS,4.6,1716000
TRX2024668,2024-03-27,Bekasi,Kerajinan,Batik Tulis,6,141500,5,E-Wallet,5.0,806550
TRX2024995,2024-04-01,Bekasi,Makanan,Keripik Singkong,4,38000,5,E-Wallet,4.8,144400
TRX2025189,2024-08-22,Bogor,Kerajinan,Gerabah Hias,3,146000,15,QRIS,4.2,372300
TRX2024243,2024-06-24,Jakarta Selatan,Kerajinan,Batik Tulis,6,190000,20,,3.2,912000
TRX2024963,2024-04-08,Jakarta Selatan,Kerajinan,Batik Tulis,7,174500,0,Transfer,4.6,1221500
TRX2024591,2024-09-05,Depok,Makanan,Rendang Kemasan,13,21000,5,Transfer,4.4,259350
TRX2025078,2024-08-27,Depok,Makanan,Kue Kering,14,38000,0,Transfer,4.2,532000
TRX2025192,2024-03-11,Jakarta Selatan,Minuman,Teh Herbal,9,48000,15,Transfer,5.0,367200
TRX2024956,2024-11-03,Jakarta Selatan,Kerajinan,Batik Tulis,9,139000,0,Transfer,4.2,1251000
TRX2024355,2024-08-17,Tangerang Selatan,Kerajinan,Gerabah Hias,7,99000,10,E-Wallet,3.9,623700
TRX2024293,2024-01-04,JAKARTA SELATAN,Minuman,Kopi Bubuk,2,39500,20,E-Wallet,4.3,63200
TRX2024869,2024-01-01,Jakarta Selatan,Minuman,Sirup Markisa,14,55000,0,Tunai,3.7,770000
TRX2024506,2024-07-06,Jakarta Selatan,Kerajinan,Gerabah Hias,7,184500,10,Tunai,4.2,1162350
TRX2024514,2024-06-10,Depok,Fashion,Hijab Motif,9,128500,0,QRIS,3.4,1156500
TRX2025177,2024-05-21,Tangerang Selatan,Kerajinan,Gerabah Hias,5,142500,0,Tunai,4.2,712500
TRX2024377,2024-11-29,Jakarta Selatan,Kerajinan,Batik Tulis,11,139000,20,Transfer,4.8,1223200
TRX2024636,2024-12-08,Bogor,Makanan,Keripik Singkong,10,20500,5,,5.0,194750
TRX2024416,2024-06-22,Bogor,Minuman,Kopi Bubuk,10,44000,0,Transfer,4.5,440000
TRX2024760,2024-08-12,Bogor,Makanan,Kue Kering,5,20500,20,QRIS,4.8,82000
TRX2024193,2024-02-19,Jakarta Selatan,Kerajinan,Tas Anyaman,6,155000,0,Transfer,3.2,930000
TRX2024065,2024-07-17,Bogor,Minuman,Teh Herbal,3,54000,0,Tunai,4.0,162000
TRX2024675,2024-08-01,Bekasi,Makanan,Keripik Singkong,1,28500,10,QRIS,3.5,25650
TRX2024614,2024-10-03,Bekasi,Fashion,Hijab Motif,12,140500,0,Transfer,5.0,1686000
TRX2024216,2024-03-03,Depok,Minuman,Kopi Bubuk,13,49000,10,Transfer,,573300
TRX2024080,2024-11-18,Bekasi,Makanan,Sambal Roa,6,30500,0,Transfer,4.4,183000
TRX2024266,2024-12-02,Bekasi,Minuman,Kopi Bubuk,14,55500,20,QRIS,3.5,621600
TRX2025166,2024-11-04,Jakarta Selatan,Fashion,Kaos Lokal,2,146000,20,Tunai,4.1,233600
TRX2024650,2024-10-29,Jakarta Selatan,Minuman,Teh Herbal,5,52500,0,E-Wallet,4.4,262500
TRX2024902,2024-02-04,Jakarta Selatan,Kerajinan,Batik Tulis,13,182500,20,QRIS,4.1,1898000
TRX2025181,2024-02-09,Bogor,Kerajinan,Tas Anyaman,4,96000,0,Transfer,3.5,384000
TRX2025195,2024-11-15,Bekasi,Minuman,Teh Herbal,8,49000,20,Transfer,4.4,313600
TRX2024083,2024-02-22,Depok,Fashion,Hijab Motif,7,99000,10,QRIS,3.7,623700
TRX2024929,2024-06-04,Bogor,Minuman,Kopi Bubuk,2,35500,20,QRIS,5.0,56800
TRX2025150,2024-04-23,Bogor,Fashion,Kemeja Tenun,3,122500,0,QRIS,3.9,367500
TRX2024665,2024-05-29,Depok,Kerajinan,Gerabah Hias,2,106500,0,E-Wallet,3.7,213000
TRX2024437,2024-01-05,Jakarta Selatan,Kerajinan,Batik Tulis,11,179000,20,Tunai,4.8,1575200
TRX2024984,2024-12-03,Bogor,Kerajinan,Tas Anyaman,11,181000,0,QRIS,4.6,1991000
TRX2024004,2024-05-14,Jakarta Selatan,Makanan,Sambal Roa,10,34500,20,,4.6,276000
TRX2024941,2024-09-21,Jakarta Selatan,Minuman,Kopi Bubuk,2,55500,0,E-Wallet,4.7,111000
TRX2024955,2024-01-30,Bogor,Makanan,Sambal Roa,12,26000,10,E-Wallet,2.5,280800
TRX2024587,2024-08-21,Bogor,Minuman,Teh Herbal,12,53000,15,Transfer,4.1,540600
TRX2025035,2024-03-25,Jakarta Selatan,Makanan,Kue Kering,4,34000,15,Tunai,4.9,115600
TRX2024304,2024-02-14,Bekasi,Kerajinan,Batik Tulis,13,137500,15,QRIS,3.7,1519375
TRX2024126,2024-06-22,Tangerang Selatan,Fashion,Hijab Motif,4,83500,15,QRIS,4.7,283900
TRX2025178,2024-10-09,Jakarta Selatan,Makanan,Kue Kering,6,34500,20,Transfer,3.5,165600
TRX2024139,2024-10-30,Jakarta Selatan,Kerajinan,Batik Tulis,7,110500,20,QRIS,5.0,618800
TRX2024001,2024-07-02,Tangerang Selatan,Kerajinan,Batik Tulis,2,139000,0,Tunai,4.9,278000
TRX2024081,2024-04-21,Bekasi,Fashion,Kemeja Tenun,8,145000,10,QRIS,3.7,1044000
TRX2024719,2024-07-19,Bogor,Minuman,Sirup Markisa,2,50500,0,Transfer,3.2,101000
TRX2024873,2024-11-02,Tangerang Selatan,Kerajinan,Tas Anyaman,4,127500,0,QRIS,4.0,510000
TRX2024263,2024-02-27,Bekasi,Makanan,Keripik Singkong,13,30000,15,E-Wallet,3.0,331500
TRX2025098,2024-10-02,Jakarta Selatan,Makanan,Keripik Singkong,8,36500,15,QRIS,5.0,248200
TRX2024349,2024-10-11,Depok,Minuman,Sirup Markisa,8,44500,0,Transfer,2.8,356000
TRX2024716,2024-04-23,Depok,Fashion,Kaos Lokal,1,115500,10,E-Wallet,3.2,103950
TRX2024870,2024-07-23,Bekasi,Makanan,Rendang Kemasan,4,39000,0,Transfer,4.2,156000
TRX2024162,2024-03-27,Bekasi,Kerajinan,Gerabah Hias,6,126500,15,Transfer,4.1,645150
TRX2024051,2024-09-20,Bogor,Fashion,Hijab Motif,2,84500,0,Transfer,3.9,169000
TRX2024031,2024-04-24,DEPOK,Makanan,Keripik Singkong,7,33000,20,E-Wallet,4.1,184800
TRX2025108,2024-09-06,Depok,Fashion,Kemeja Tenun,10,140000,5,Tunai,4.2,1330000
TRX2024175,2024-02-08,Depok,Makanan,Kue Kering,2,24000,0,QRIS,3.8,48000
TRX2024169,2024-06-15,Depok,Fashion,Hijab Motif,14,142000,0,Tunai,4.0,1988000
TRX2024632,2024-09-07,Jakarta Selatan,Fashion,Kemeja Tenun,2,110500,0,Transfer,4.4,221000
TRX2024526,2024-09-29,Depok,Makanan,Rendang Kemasan,1,28500,20,Transfer,4.9,22800
TRX2024238,2024-01-21,Bogor,Fashion,Kaos Lokal,11,109500,20,Tunai,4.5,963600
